City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
0,Piet Retief,-27.0071,30.8132,66.63,62,0,5.73,ZA,2022-03-31 15:46:15,clear sky
1,Komsomolskiy,40.4272,71.7189,56.12,58,0,4.61,UZ,2022-03-31 15:46:15,clear sky
2,Hilo,19.7297,-155.09,69.53,91,75,5.75,US,2022-03-31 15:43:52,broken clouds
3,Kapaa,22.0752,-159.319,73.11,95,20,11.5,US,2022-03-31 15:42:58,few clouds
4,Suntar,62.1444,117.6319,30.06,97,100,7.9,RU,2022-03-31 15:46:16,light snow
5,Avarua,-21.2078,-159.775,75.25,94,6,2.3,CK,2022-03-31 15:46:16,clear sky
6,Qaanaaq,77.484,-69.3632,21.06,70,28,6.89,GL,2022-03-31 15:46:16,scattered clouds
7,Abapo,-18.8333,-63.4667,61.5,25,100,6.38,BO,2022-03-31 15:46:16,overcast clouds
8,Ushuaia,-54.8,-68.3,49.66,57,20,13.8,AR,2022-03-31 15:41:30,few clouds
9,Gobabis,-22.45,18.9667,77.5,47,95,13.29,NA,2022-03-31 15:43:24,overcast clouds
10,Hobart,-42.8794,147.3294,55.26,71,100,10.36,AU,2022-03-31 15:46:04,overcast clouds
11,Thompson,55.7435,-97.8558,28.56,54,75,6.91,CA,2022-03-31 15:46:17,broken clouds
12,Albany,42.6001,-73.9662,56.17,80,88,1.01,US,2022-03-31 15:46:17,overcast clouds
13,Raga,8.4596,25.678,95.16,12,28,5.01,SS,2022-03-31 15:46:18,scattered clouds
14,Iqaluit,63.7506,-68.5145,26.33,92,100,5.75,CA,2022-03-31 15:46:18,light snow
15,Tuktoyaktuk,69.4541,-133.0374,-23.8,69,40,9.22,CA,2022-03-31 15:46:18,scattered clouds
16,Puerto Ayora,-0.7393,-90.3518,82.36,75,94,6.98,EC,2022-03-31 15:46:18,light rain
17,Kaihua,23.3687,104.28,53.2,80,100,10.63,CN,2022-03-31 15:46:19,overcast clouds
18,Bolobo,-2.1667,16.2333,88.83,50,49,3.04,CD,2022-03-31 15:46:19,scattered clouds
19,Punta Arenas,-53.15,-70.9167,51.91,46,75,19.57,CL,2022-03-31 15:42:49,broken clouds
20,Morondava,-20.2833,44.2833,84.04,67,29,6.53,MG,2022-03-31 15:46:19,scattered clouds
21,Westport,41.1415,-73.3579,60.1,93,20,3.44,US,2022-03-31 15:46:07,few clouds
22,Katubao,5.8892,124.8294,79.77,81,64,2.59,PH,2022-03-31 15:46:20,broken clouds
23,Busselton,-33.65,115.3333,72.72,66,0,12.53,AU,2022-03-31 15:46:20,clear sky
24,Tonantins,-2.8731,-67.8022,83.12,68,94,4.7,BR,2022-03-31 15:46:20,overcast clouds
25,Yellowknife,62.456,-114.3525,13.41,77,100,3.44,CA,2022-03-31 15:42:47,overcast clouds
26,Buraydah,26.326,43.975,91.85,11,0,9.73,SA,2022-03-31 15:46:21,clear sky
27,Shelburne,44.0787,-80.2041,59.45,79,49,29.19,CA,2022-03-31 15:46:21,scattered clouds
28,Ribeira Grande,38.5167,-28.7,64.8,82,75,9.22,PT,2022-03-31 15:46:21,broken clouds
29,Mataura,-46.1927,168.8643,46.04,90,100,0.54,NZ,2022-03-31 15:46:22,overcast clouds
30,Ancud,-41.8697,-73.8203,59.23,60,100,2.71,CL,2022-03-31 15:46:22,overcast clouds
31,Port Alfred,-33.5906,26.891,64.18,92,100,3.0,ZA,2022-03-31 15:46:22,overcast clouds
32,Abha,18.2164,42.5053,73.22,49,20,10.36,SA,2022-03-31 15:46:23,few clouds
33,Lebu,-37.6167,-73.65,57.2,58,5,20.18,CL,2022-03-31 15:46:09,clear sky
34,Ambulu,-8.345,113.6058,76.35,90,61,3.0,ID,2022-03-31 15:46:23,light rain
35,Saint-Philippe,-21.3585,55.7679,78.39,72,59,13.82,RE,2022-03-31 15:46:23,broken clouds
36,Ponnani,10.767,75.9252,83.52,80,20,6.51,IN,2022-03-31 15:46:23,few clouds
37,Rikitea,-23.1203,-134.9692,77.45,73,58,15.75,PF,2022-03-31 15:46:24,light rain
38,Mahebourg,-20.4081,57.7,79.09,73,75,18.41,MU,2022-03-31 15:46:24,broken clouds
39,Tasiilaq,65.6145,-37.6368,41.16,99,100,4.92,GL,2022-03-31 15:46:24,light rain
40,Kaabong,3.4836,34.1492,75.9,46,57,16.89,UG,2022-03-31 15:46:25,broken clouds
41,Mar Del Plata,-38.0023,-57.5575,60.82,81,40,12.66,AR,2022-03-31 15:46:25,scattered clouds
42,Beberibe,-4.1797,-38.1306,76.8,87,100,2.68,BR,2022-03-31 15:46:25,overcast clouds
43,Banjar,-8.19,114.9675,77.16,90,92,3.98,ID,2022-03-31 15:46:26,overcast clouds
44,Pevek,69.7008,170.3133,-22.95,99,95,5.21,RU,2022-03-31 15:46:26,overcast clouds
