City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Kapaa,US,73.11,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
5,Avarua,CK,75.25,clear sky,-21.2078,-159.775,Little Polynesian Resort
16,Puerto Ayora,EC,82.36,light rain,-0.7393,-90.3518,Finch Bay Galapagos Hotel
18,Bolobo,CD,88.83,scattered clouds,-2.1667,16.2333,Hotel de Stephen
20,Morondava,MG,84.04,scattered clouds,-20.2833,44.2833,La Case Bambou
22,Katubao,PH,79.77,broken clouds,5.8892,124.8294,IML Ecopark
23,Busselton,AU,72.72,clear sky,-33.65,115.3333,Observatory Guest House
24,Tonantins,BR,83.12,overcast clouds,-2.8731,-67.8022,Hotel Rei Davi
32,Abha,SA,73.22,few clouds,18.2164,42.5053,Abha Hotel
34,Ambulu,ID,76.35,light rain,-8.345,113.6058,Hotel Ambulu Jember
35,Saint-Philippe,RE,78.39,broken clouds,-21.3585,55.7679,p'ti case d'éléna
36,Ponnani,IN,83.52,few clouds,10.767,75.9252,Rouba Residency
37,Rikitea,PF,77.45,light rain,-23.1203,-134.9692,People ThankYou
38,Mahebourg,MU,79.09,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
40,Kaabong,UG,75.9,broken clouds,3.4836,34.1492,Rock Motel Ltd
42,Beberibe,BR,76.8,overcast clouds,-4.1797,-38.1306,Hotel Bouganville
43,Banjar,ID,77.16,overcast clouds,-8.19,114.9675,Lovina Beach Hotel
46,Cape Town,ZA,70.11,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
47,Carnarvon,AU,71.67,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
54,Mumias,KE,71.17,broken clouds,0.3351,34.4864,Mumias Sugar Guesthouse
57,Kahului,US,74.84,clear sky,20.8947,-156.47,Maui Seaside Hotel
61,Manali,IN,86.09,clear sky,13.1667,80.2667,Sarathy Lodge
63,Karamadai,IN,84.58,scattered clouds,11.2406,76.9601,Hotel Kauveri International
64,Caravelas,BR,88.07,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
67,Atuona,PF,78.33,scattered clouds,-9.8,-139.0333,Villa Enata
70,Bhindar,IN,86.25,clear sky,24.5,74.1833,Hotel Rajmahal Bhindar
78,Santa Rosa,PH,84.18,clear sky,14.3122,121.1114,Erlyn’s Sta Rosa City Home
91,Sao Filipe,CV,71.37,clear sky,14.8961,-24.4956,Hotel Xaguate
94,Vaini,TO,80.28,light rain,-21.2,-175.2,Little Italy Hotel
99,Kandrian,PG,77.92,light rain,-6.2167,149.55,Kandrian Station
101,Butaritari,KI,80.26,light rain,3.0707,172.7902,Isles Sunset Lodge
102,Daru,PG,77.49,overcast clouds,-9.0763,143.2092,Daru Lodge
103,Mocajuba,BR,76.1,overcast clouds,-2.5842,-49.5072,Hotel Saylon Mocajuba
112,Georgetown,MY,80.53,few clouds,5.4112,100.3354,Cititel Penang
